month,practice,pct,chemical_code,chemical,carbonate,citrate,total_lithium,total_cost
2010-09-01 00:00:00+00:00,Y02077,03W,0402030K0,Lithium Carbonate,1,0,1,0.18
2010-09-01 00:00:00+00:00,Y01208,11A,0402030K0,Lithium Carbonate,1,0,1,2.57
2010-09-01 00:00:00+00:00,Y02102,5M2,0402030K0,Lithium Carbonate,9,0,9,12.68
2010-09-01 00:00:00+00:00,Y00656,13T,0402030K0,Lithium Carbonate,1,0,1,0.11
2010-09-01 00:00:00+00:00,Y00502,06W,0402030K0,Lithium Carbonate,2,0,2,0.42
2010-09-01 00:00:00+00:00,Y00776,12D,0402030K0,Lithium Carbonate,1,0,1,0.47
2010-09-01 00:00:00+00:00,L83126,15N,0402030K0,Lithium Carbonate,3,0,3,2.99
2010-09-01 00:00:00+00:00,C86612,02X,0402030K0,Lithium Carbonate,2,0,2,4.88
2010-09-01 00:00:00+00:00,M92036,06A,0402030K0,Lithium Carbonate,3,0,3,2.41
2010-09-01 00:00:00+00:00,F81643,07G,0402030K0,Lithium Carbonate,6,0,6,5.550000000000001
2010-09-01 00:00:00+00:00,Y02587,09W,0402030K0,Lithium Carbonate,1,0,1,1.1
2010-09-01 00:00:00+00:00,K81091,15D,0402030K0,Lithium Carbonate,1,0,1,0.62
2010-09-01 00:00:00+00:00,C88075,03N,0402030K0,Lithium Carbonate,6,0,6,8.06
2010-09-01 00:00:00+00:00,P84668,14L,0402030K0,Lithium Carbonate,10,0,10,8.41
2010-09-01 00:00:00+00:00,Y02509,03R,0402030K0,Lithium Carbonate,1,0,1,6.4
2010-09-01 00:00:00+00:00,Y02232,RYG,0402030K0,Lithium Carbonate,1,0,1,0.62
2010-09-01 00:00:00+00:00,Y02732,5NY,0402030K0,Lithium Carbonate,1,0,1,0.46
2010-09-01 00:00:00+00:00,L81672,15C,0402030K0,Lithium Carbonate,1,0,1,0.47
2010-09-01 00:00:00+00:00,M91630,5M3,0402030K0,Lithium Carbonate,2,0,2,1.7200000000000002
2010-09-01 00:00:00+00:00,Y02330,14L,0402030K0,Lithium Carbonate,1,0,1,0.33
2010-09-01 00:00:00+00:00,F85638,07X,0402030K0,Lithium Carbonate,1,0,1,0.9
2010-09-01 00:00:00+00:00,Y02766,09D,0402030K0,Lithium Carbonate,2,0,2,0.22
2010-09-01 00:00:00+00:00,Y02273,5QQ,0402030K0,Lithium Carbonate,1,0,1,1.22
2010-09-01 00:00:00+00:00,P84662,14L,0402030K0,Lithium Carbonate,1,0,1,2.16
2010-09-01 00:00:00+00:00,Y02824,08N,0402030K0,Lithium Carbonate,1,0,1,0.22
2010-09-01 00:00:00+00:00,Y00271,11M,0402030K0,Lithium Carbonate,1,0,1,0.92
2010-09-01 00:00:00+00:00,Y01952,03A,0402030K0,Lithium Carbonate,1,0,1,0.15
2010-09-01 00:00:00+00:00,C85609,02P,0402030K0,Lithium Carbonate,10,0,10,7.859999999999999
2010-09-01 00:00:00+00:00,Y02252,RYG,0402030K0,Lithium Carbonate,1,0,1,0.9
2010-09-01 00:00:00+00:00,Y01188,00Y,0402030K0,Lithium Carbonate,10,0,10,3.2199999999999998
2010-09-01 00:00:00+00:00,Y03082,08F,0402030K0,Lithium Carbonate,2,0,2,5.27
2010-09-01 00:00:00+00:00,Y02265,NEN,0402030K0,Lithium Carbonate,1,0,1,0.21
2010-10-01 00:00:00+00:00,Y00049,11N,0402030K0,Lithium Carbonate,4,0,4,2.71
2010-10-01 00:00:00+00:00,Y01156,15E,0402030K0,Lithium Carbonate,1,0,1,20.55
2010-10-01 00:00:00+00:00,Y01660,09Y,0402030K0,Lithium Carbonate,2,0,2,0.64
2010-10-01 00:00:00+00:00,Y02102,5M2,0402030K0,Lithium Carbonate,3,0,3,4.96
2010-10-01 00:00:00+00:00,Y02247,RYG,0402030K0,Lithium Carbonate,1,0,1,0.47
2010-10-01 00:00:00+00:00,Y01882,02T,0402030K0,Lithium Carbonate,1,0,1,0.23
2010-10-01 00:00:00+00:00,Y00183,08F,0402030K0,Lithium Carbonate,2,0,2,3.52
2010-10-01 00:00:00+00:00,Y02204,99A,0402030K0,Lithium Carbonate,4,0,4,1.23
2010-10-01 00:00:00+00:00,Y02365,04C,0402030K0,Lithium Carbonate,1,0,1,0.24
2010-10-01 00:00:00+00:00,Y00737,RYF,0402030K0,Lithium Carbonate,1,0,1,0.19
2010-10-01 00:00:00+00:00,G83069,08A,0402030K0,Lithium Carbonate,6,0,6,16.32
2010-10-01 00:00:00+00:00,M91039,05Y,0402030K0,Lithium Carbonate,3,0,3,4.8100000000000005
2010-10-01 00:00:00+00:00,J82612,10X,0402030K0,Lithium Carbonate,3,0,3,7.0
2010-10-01 00:00:00+00:00,Y00071,15N,0402030K0,Lithium Carbonate,3,0,3,1.29
2010-10-01 00:00:00+00:00,F85638,07X,0402030K0,Lithium Carbonate,1,0,1,0.9
2010-10-01 00:00:00+00:00,Y02587,09W,0402030K0,Lithium Carbonate,1,0,1,1.1
2010-10-01 00:00:00+00:00,F85037,07X,0402030K0,Lithium Carbonate,1,0,1,0.9
2010-10-01 00:00:00+00:00,C87019,03L,0402030K0,Lithium Carbonate,4,0,4,7.41
2010-10-01 00:00:00+00:00,Y01783,01D,0402030K0,Lithium Carbonate,3,0,3,3.52
2010-10-01 00:00:00+00:00,Y02695,RYG,0402030K0,Lithium Carbonate,5,0,5,8.030000000000001
2010-10-01 00:00:00+00:00,Y03192,NCN,0402030K0,Lithium Carbonate,2,0,2,1.52
2010-10-01 00:00:00+00:00,J82607,10X,0402030K0,Lithium Carbonate,9,0,9,15.97
2010-10-01 00:00:00+00:00,Y02989,NTP,0402030K0,Lithium Carbonate,1,0,1,0.37
2010-10-01 00:00:00+00:00,Y01173,03N,0402030K0,Lithium Carbonate,1,0,1,0.1
2010-10-01 00:00:00+00:00,Y00626,11N,0402030K0,Lithium Carbonate,2,0,2,3.76
2010-10-01 00:00:00+00:00,Y03056,RYG,0402030K0,Lithium Carbonate,3,0,3,0.6599999999999999
2010-10-01 00:00:00+00:00,F83630,08H,0402030K0,Lithium Carbonate,2,0,2,5.24
